id,title,description,start_date,end_date,location,price,max_attendees,current_attendees,status,created_by,created_at,updated_at,slug,is_public,member_price,non_member_price,registration_closed
76d5100c-826a-4ebd-8324-0ad60bad2e4b,BACO Annual Convention 2025,Annual convention for all BACO members & non members.,2025-11-13 13:00:00,2025-11-14 22:00:00,BAHAMA CONVENTION CENTER,500.00,500,0,upcoming,9ecab156-ee27-485d-9edc-eed217bb803d,2025-08-12 19:00:29.506406,2025-08-12 21:06:31.467,baco-annual-meeting-2025,t,,,f
baco-conference-2025,BACO Conference 2025 – Celebrating 25 Years of Compliance,"Rooted in Integrity, Growing with Purpose",2025-11-13 18:00:00,2025-11-15 03:00:00,"Bahamar Convention Center, Nassau, Bahamas",500.00,500,184,upcoming,9ecab156-ee27-485d-9edc-eed217bb803d,2025-08-13 17:32:29.709049,2025-11-10 12:53:06.468,baco-conference-2025,t,,,t
